School Name,Address,Mobile Numbers,Phone Numbers
APEG Residential School,"Near Maharaja Fort, Ratu, Ranchi, Jharkhand 835222, India",9334063500,(0657) 2286059
Army Public School - APS Ramgarh,"Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",9887029143,(0657) 2650623
Army Public School - APS Ranchi,"Dipatoli Cantt., NVV Hotwar, Ranchi, Jharkhand 834017, India",9887029143,(0657) 2423983
Army Public School - Ramgarh Cantt,"Ramgarh - Patratu Road, Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",(0651) 2330949,(0657) 2432904
Asha Kiran School,"Telco, Jamshedpur, Jharkhand 831004, India",9334436045,(0657) 2363185
Assisi High School,"Near Union Bank of India, Purulia Road, Ranchi, Jharkhand 834001, India",9234051234,(06546) 291910
Atomic Energy Central School - AECS 1,"UCIL Colony, Jaduguda Mines, Dist. Singbhum (East), Jamshedpur, Jharkhand 832102, India",9431174163,(06553) 222107
Atomic Energy Central School - AECS 2,"Post- Jaduguda Mines, East Singhbhum, Purba Singhbhum, Jharkhand 832102, India",(06553) 222107,(0651) 2273354
Atomic Energy Central School - AECS Narwapahar,"Dipatoli, Bariatu, Ranchi, Jharkhand 834009, India",9471543104,(0651) 2273346
Atomic Energy Central School - AECS Turamdih,"House No. 138, New A.G. Co-Operative Colony, Kadru, Ranchi, Jharkhand 834005, India",9835124219,(0657) 2286574
Bachpan A Play School,"Budhwa Mahadeo, Ananda Chowk, Hazaaribagh, Jharkhand 825301, India",9835907100,(0651) 2260408
Bachpan A Play School  - College Road,"17/L, 4-13, Golmuri, Jamshedpur, Jharkhand 831003, India",9835054624,(0657) 2730622
Bachpan A Play School -  Ramgarh,"Tiril Road, Kokar, Ranchi, Jharkhand 834001, India",7643828111,(0657) 2731325
Bachpan A Play School - Adityapur,"Chhotagouindpur, Close Acc. to Roma Jee Sakchi, Jamshedpur, Jharkhand 831001, India",9470959772,(0657) 2730951
Bachpan A Play School - Agrico,"Muri, Ranchi, Jharkhand 835101, India",9279005019,(0657) 2730951
Bachpan A Play School - Anantpur,"Ghanshyam Kunj, Garhwa Road, Rehla, Palamu, Jharkhand 822124, India",7250975663,(0657) 2340757
Bachpan A Play School - Ashok Nagar,"Rajendra Nagar, New Ulidih Mango, Behind Shiv Mandir, Jamshedpur, Jharkhand 831012, India",(0652) 2244147,(0657) 2286059
Bachpan A Play School - Azad Nagar,"Near Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",9507037622,(0657) 2650623
Bachpan A Play School - Babhantoli,"Beside Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",9507037621,(0657) 2423983
Bachpan A Play School - Baridh,"Bharechnagar, Ramgarh, Jharkhand 829146, India",(06584) 222221,(0657) 2432904
Bachpan A Play School - Binod Nagar,"Hinoo Road, Ranchi, Jharkhand 834002, India",9708039398,(0657) 2363185
Bachpan A Play School - Birsanagar,"Road No. 18, Jawahar Nagar, Mango (Near Chepa Pul), Jamshedpur, Jharkhand 831002, India",(06584) 262205,(06546) 291910
Bachpan A Play School - Bokaro Steel City,"6, Ramkrishna Colony, Cross Road, Bistupur, Jamshedpur, Jharkhand 831001, India",(06553) 256623,(06553) 222107
Bachpan A Play School - Chas,"Near Jevar Jewelers, Beside Continental Pharmacy, Main Road, Ranchi, Jharkhand 834001, India",9234302109,(0651) 2273354
Bachpan A Play School - Chitragupt Nagar,"Hazaaribagh, Jharkhand 825301, India",(06553) 256623,(0651) 2273346
Bachpan A Play School - Chotta Govindpur,"Near Maharaja Fort, Ratu, Ranchi, Jharkhand 835222, India",(0651) 2506274,(0657) 2286574
Bachpan A Play School - Dahiya,"Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",9334063500,(0651) 2260408
Bachpan A Play School - Deepatoli,"Dipatoli Cantt., NVV Hotwar, Ranchi, Jharkhand 834017, India",9887029143,(0657) 2730622
Bachpan A Play School - Deoghar,"Ramgarh - Patratu Road, Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",9887029143,(0657) 2731325
Bachpan A Play School - Dumka,"Telco, Jamshedpur, Jharkhand 831004, India",(0651) 2330949,(0657) 2730951
Bachpan A Play School - Egarkund,"Near Union Bank of India, Purulia Road, Ranchi, Jharkhand 834001, India",9334436045,(0657) 2730951
Bachpan A Play School - Gamharia,"UCIL Colony, Jaduguda Mines, Dist. Singbhum (East), Jamshedpur, Jharkhand 832102, India",9234051234,(0657) 2741032
Bachpan A Play School - Garhwa,"Post- Jaduguda Mines, East Singhbhum, Purba Singhbhum, Jharkhand 832102, India",9431174163,(0657) 2741029
Bachpan A Play School - Ginjo Thakur Gaon,"Narwapahar, UCIL Colony, P.O. Narwa Mines, Purba Singhbhum, Jharkhand 832111, India",(06553) 222107,(0657) 2318013
Bachpan A Play School - Govindpur,"P.O. Sundernagar, Purba Singhbhum, Jharkhand 832107, India",9471543104,(0657) 2318013
Bachpan A Play School - Gumla,"Pal Bagan, Near Mishra Nursing Home, P.O. Mihijam
, Dumka, Jharkhand 815354, India",9835124219,(0657) 2340757
Bachpan A Play School - Hatia,"Chatra College Road, Opp. S.P. Kothi, Chatra, Chatra, Jharkhand 825401, India",9835907100,(0657) 2286059
Bachpan A Play School - Hazari,"Guru Bhawan, NH-33, Kankebar, Ramgarh Cantt, Dhanbad, Jharkhand 829122, India",9835054624,(0657) 2650623
Bachpan A Play School - Heritage Nagar,"Adharshila Tower, Road No. 4, Adityapur- 02, Sarai Kela
, Jamshedpur, Jharkhand 831013, India",7643828111,(0657) 2423983
Bachpan A Play School - Jagarnathpur,"Building No. 2, G.T.N.B., Road No. 9, Shiv Singh Bagan, Jamshedpur, Jharkhand 831009, India",9470959772,(0657) 2432904
Bachpan A Play School - Jamshedpur,"Sumer Villa, New Anantpur, Near Bharti Hospital, Ranchi, Below Overbridge
, Ranchi, Jharkhand 834001, India",9279005019,(0657) 2363185
Bachpan A Play School - Jamtara,"House No. 381, Flat A, Road No.4, Ranchi, Jharkhand 834002, India",7250975663,(06546) 291910
Bachpan A Play School - Jhumri Telaiya,"Near Professor Colony, Jawaharlal Nagar, Azad Nagar, Mango
, Jamshedpur, Jharkhand 832110, India",(0652) 2244147,(06553) 222107
Bachpan A Play School - Kanke Road,"Kalakunj, Near Durga Mandir, Babhantoli, Giridih, Jharkhand 815301, India",9507037622,(0651) 2273354
Bachpan A Play School - Karamtoli,"Bunglow No. 439, Row No. E, 7th Phase, Vijaya Garden, Jamshedpur, Jharkhand 831017, India",9507037621,(0651) 2273346
Bachpan A Play School - Katras Road,"Usha Nand Gokulam, Binod Nagar, Chiragora
, Dhanbad, Jharkhand 826001, India",(06584) 222221,(0657) 2286574
Bachpan A Play School - Katrasgarh,"â€œSuryanchalâ€, Zone No. 1B, Opp. Loyola B. Ed. College, Hurlung Road, Telco, Jamshedpur, Jharkhand 832110, India",9708039398,(0651) 2260408
Bachpan A Play School - Kusum Vihar,"Plot No. C-5, Sector 2-D, Central Market, Bokaro Steel City, Bokaro, Jharkhand 827002, India",(06584) 262205,(0657) 2730622
Bachpan A Play School - Manjhitola,"Bhardwaj Complex, Telgoria More, Chira Chas Road, Opposite Reliance Tower, Bokaro Steel City, Bokaro, Jharkhand 827013, India",(06553) 256623,(0657) 2731325
Bachpan A Play School - Matwari,"Mandhar Pushp, Pragatisheel Colony, Baragain, Bariatu Road, Ranchi, Jharkhand 834009, India",9234302109,(0657) 2730951
Bachpan A Play School - Nawabganj,"Kn-43, Jamshedpur, Jamshedpur, Jharkhand 831015, India",(06553) 256623,(0657) 2730951
Bachpan A Play School - New Colony,"Beside Dr. SK Kundu, Near Durga Mandir, ISM (IIT) Ranibandh, Dhaiya, Dhanbad, Jharkhand 826004, India",(0651) 2506274,(0657) 2340757
Bachpan A Play School - Nirsa,"Old SBI Building, Bandh Gari, Ranchi, Jharkhand 834009, India",9334063500,(0657) 2286059
Bachpan A Play School - Pakur,"Srikant Road, Bela Bazar, B. Deoghar, Deoghar, Jharkhand 814112, India",9887029143,(0657) 2650623
Bachpan A Play School - Sahibganj,"Old A.N. College Campus, Dudhani, Dumka, Jharkhand 814101, India",9887029143,(0657) 2423983
Bachpan A Play School - Suriya,"Shanti Niwas, M.P Singh Colony Egarkund, Dhanbad, Jharkhand 828203, India",(0651) 2330949,(0657) 2432904
Bachpan A Play School - Tagore Hill,"First Floor, Ganpati Mainson, Bolaidin Road, Saraikella, Kharsawn, Gamharia, Jamshedpur, Jharkhand 832108, India",9334436045,(0657) 2363185
Bachpan A Play School - Tata Nagar,"Chiniya Road, Piprakalan Ward No. 07, Near Shanti Niwas School, Garhwa, Jharkhand 822114, India",9234051234,(06546) 291910
Bachpan A Play School - Thakur Gaon,"Dipatoli, Bariatu, Ranchi, Jharkhand 834009, India",9431174163,(06553) 222107
Bachpan A Play School - The Acropolis,"House No. 138, New A.G. Co-Operative Colony, Kadru, Ranchi, Jharkhand 834005, India",(06553) 222107,(0651) 2273354
Bachpan A Play School - Upper Bazar,"Budhwa Mahadeo, Ananda Chowk, Hazaaribagh, Jharkhand 825301, India",9471543104,(0651) 2273346
Bachpan Play School,"17/L, 4-13, Golmuri, Jamshedpur, Jharkhand 831003, India",9546760825,(0657) 2286574
Bagun Nagar Primary School,"Tiril Road, Kokar, Ranchi, Jharkhand 834001, India",9835738905,(0651) 2260408
Bal Gyan Peeth High School,"Chhotagouindpur, Close Acc. to Roma Jee Sakchi, Jamshedpur, Jharkhand 831001, India",7856080500,(0657) 2730622
Baldwin Farm Area High School,"Muri, Ranchi, Jharkhand 835101, India",9304803232,(0657) 2731325
Balichela High School,"Ghanshyam Kunj, Garhwa Road, Rehla, Palamu, Jharkhand 822124, India",9334266402,(0657) 2730951
Ballview School,"Rajendra Nagar, New Ulidih Mango, Behind Shiv Mandir, Jamshedpur, Jharkhand 831012, India",9471150000,(0657) 2730951
Bambino Nursery School,"Near Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",9801994801,(0657) 2741032
Bari Bazar Urdu Middle School,"Beside Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",9430303798,(0657) 2741029
Baridih Girls High School,"Bharechnagar, Ramgarh, Jharkhand 829146, India",9431180610,(0657) 2318013
Barnes Public School,"Hinoo Road, Ranchi, Jharkhand 834002, India",9334111102,(0657) 2318013
Beldih Church School,"Road No. 18, Jawahar Nagar, Mango (Near Chepa Pul), Jamshedpur, Jharkhand 831002, India",9471110059,(0657) 2340757
Berlin Public School,"6, Ramkrishna Colony, Cross Road, Bistupur, Jamshedpur, Jharkhand 831001, India",(0651) 2482703,(0657) 2286059
Bethany Convent School,"Near Jevar Jewelers, Beside Continental Pharmacy, Main Road, Ranchi, Jharkhand 834001, India",9431104710,(0657) 2650623
Bhartiya Model School,"Hazaaribagh, Jharkhand 825301, India",9631088704,(0657) 2423983
Birla Open Minds International School,"Near Maharaja Fort, Ratu, Ranchi, Jharkhand 835222, India",(0651) 6571503,(0657) 2432904
Birsa Munda High School,"Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",9470109599,(0657) 2363185
Birsanagar Primary School,"Dipatoli Cantt., NVV Hotwar, Ranchi, Jharkhand 834017, India",8987661077,(06546) 291910
Bishop Hartmann Academy,"Ramgarh - Patratu Road, Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",7677725239,(06553) 222107
Bishop Westcott Boys' School,"Telco, Jamshedpur, Jharkhand 831004, India",9102057979,(0651) 2273354
Bishop Westcott Girl's School,"Near Union Bank of India, Purulia Road, Ranchi, Jharkhand 834001, India",9709134644,(0651) 2273346
Bishop's School,"UCIL Colony, Jaduguda Mines, Dist. Singbhum (East), Jamshedpur, Jharkhand 832102, India",9431144050,(0657) 2286574
Blue Bells English High School,"Post- Jaduguda Mines, East Singhbhum, Purba Singhbhum, Jharkhand 832102, India",9430315250,(0651) 2260408
BN Saha DAV Public School,"Narwapahar, UCIL Colony, P.O. Narwa Mines, Purba Singhbhum, Jharkhand 832111, India",(0657) 2343048,(0657) 2730622
Board Middle School,"P.O. Sundernagar, Purba Singhbhum, Jharkhand 832107, India",9431280468,(0657) 2731325
Bokaro Ispat Vidyalaya,"Pal Bagan, Near Mishra Nursing Home, P.O. Mihijam
, Dumka, Jharkhand 815354, India",8102233340,(0657) 2730951
Bokaro Public School,"Chatra College Road, Opp. S.P. Kothi, Chatra, Chatra, Jharkhand 825401, India",7677084011,(0657) 2730951
BPS Play School,"Guru Bhawan, NH-33, Kankebar, Ramgarh Cantt, Dhanbad, Jharkhand 829122, India",(0657) 2280600,(0657) 2741032
Bridgeford School,"Adharshila Tower, Road No. 4, Adityapur- 02, Sarai Kela
, Jamshedpur, Jharkhand 831013, India",9431111450,(0657) 2741029
Bright Hopes Nursery School,"Building No. 2, G.T.N.B., Road No. 9, Shiv Singh Bagan, Jamshedpur, Jharkhand 831009, India",9661361001,(0657) 2318013
Bright Land School,"Sumer Villa, New Anantpur, Near Bharti Hospital, Ranchi, Below Overbridge
, Ranchi, Jharkhand 834001, India",9470383290,(0657) 2318013
BSS Pranav Children World,"House No. 381, Flat A, Road No.4, Ranchi, Jharkhand 834002, India",9431735578,(0657) 2340757
Burgeon Public School,"Near Professor Colony, Jawaharlal Nagar, Azad Nagar, Mango
, Jamshedpur, Jharkhand 832110, India",9430374946,(0657) 2286059
Cambrian Public School,"Kalakunj, Near Durga Mandir, Babhantoli, Giridih, Jharkhand 815301, India",9431389253,(0657) 2650623
Cambridge International School - CIS,"Bunglow No. 439, Row No. E, 7th Phase, Vijaya Garden, Jamshedpur, Jharkhand 831017, India",9835139191,(0657) 2423983
Cambridge School,"Usha Nand Gokulam, Binod Nagar, Chiragora
, Dhanbad, Jharkhand 826001, India",(0657) 2276370,(0657) 2432904
Carmel Convent School,"â€œSuryanchalâ€, Zone No. 1B, Opp. Loyola B. Ed. College, Hurlung Road, Telco, Jamshedpur, Jharkhand 832110, India",9431301925,(0657) 2363185
Carmel Junior College,"Plot No. C-5, Sector 2-D, Central Market, Bokaro Steel City, Bokaro, Jharkhand 827002, India",9234601925,(06546) 291910
Carmel School,"Bhardwaj Complex, Telgoria More, Chira Chas Road, Opposite Reliance Tower, Bokaro Steel City, Bokaro, Jharkhand 827013, India",9304274361,(06553) 222107
CD Girl's High School,"Mandhar Pushp, Pragatisheel Colony, Baragain, Bariatu Road, Ranchi, Jharkhand 834009, India",7856095805,(0651) 2273354
Central Academy,"Kn-43, Jamshedpur, Jamshedpur, Jharkhand 831015, India",70044739500,(0651) 2273346
Central Public School,"Beside Dr. SK Kundu, Near Durga Mandir, ISM (IIT) Ranibandh, Dhaiya, Dhanbad, Jharkhand 826004, India",9304749550,(0657) 2286574
Chaibasa Girls High School,"Old SBI Building, Bandh Gari, Ranchi, Jharkhand 834009, India",9572850592,(0651) 2260408
Chaibasa High School,"Srikant Road, Bela Bazar, B. Deoghar, Deoghar, Jharkhand 814112, India",9430717772,(0657) 2730622
Chanakya Global Academy,"Old A.N. College Campus, Dudhani, Dumka, Jharkhand 814101, India",9204218199,(0657) 2731325
Chasnalla Academy,"Shanti Niwas, M.P Singh Colony Egarkund, Dhanbad, Jharkhand 828203, India",(06434) 231231,(0657) 2730951
Children's Art School,"First Floor, Ganpati Mainson, Bolaidin Road, Saraikella, Kharsawn, Gamharia, Jamshedpur, Jharkhand 832108, India",9334459529,(0657) 2730951
Chinmaya Vidyalaya,"Chiniya Road, Piprakalan Ward No. 07, Near Shanti Niwas School, Garhwa, Jharkhand 822114, India",8709781711,(0657) 2340757
Chiranjeevee Play School,"Ginjo Thakur Gaon, In Thakurbari Mandir Campus, PS: Burmu, Ranchi, Jharkhand 835205, India",9431090009,(0657) 2286059
Chiranjeevee Public School,"Gosaindih, Dhanbad, Govindpur Road, Near Grih Shobha Furniture Shop, PO- KG Ashram, Dhanbad, Jharkhand 828109, India",9430101070,(0657) 2650623
Colony Primary School,"Anandpur, Beside State Bus Depot, Lohar Daga Road, Dunduria, Gumla, Jharkhand 835207, India",9204858999,(0657) 2423983
Columbus Public School,"Vikas Nagar, Road No. 9, Latma Road, Singh More, Hatia, Ranchi, Jharkhand 834003, India",7004169247,(0657) 2432904
Competition Public School,"""Braj Vatsalya"", Gomia-Bermo Road, PO- Hazari (Via Swang Colliery), Bokaro Steel City, Bokaro, Jharkhand 829128, India",9891944017,(0657) 2363185
Crayons Montessori School,"Near Kathal More, Lal Gutuwa, Ranchi, Jharkhand 834001, India",7654731232,(06546) 291910
Credo World School,"Maa Saheb, New Pondag, Near Sail City, Ranchi, Jharkhand 834004, India",9835124219,(06553) 222107
Crescent Public School,"In front of Al-Kabir Polytechnic College, Kabirnagar, Kopali, Jamshedpur, Jharkhand 831012, India",9835907100,(0651) 2273354
Crown Public School,"Kyasthpara Road, Above Bank of India, Jamtara
, Dumka, Jharkhand 815351, India",9835054624,(0651) 2273346
Daisy Garden English High School,"Beside of Grizzly College of Educations Building, Near Satpulia, Gumo, P.O. Jhumri Telaiya, Koderma, Jharkhand 825409, India",7643828111,(0657) 2286574
DAV Alok Public School,"Flat No. 501/502, Vasant Vihar, Kanke Road, Ranchi, Jharkhand 834008, India",9470959772,(0651) 2260408
DAV Central School,"Mothers Treasure, Karamtoli
, Ranchi, Jharkhand 834001, India",9279005019,(0657) 2730622
DAV International School,"A.C. Market, Vinayak Bhawan, Near Swaminarayan Mandir, Katras Road, Dhanbad, Jharkhand 826001, India",7250975663,(0657) 2731325
DAV Nageshwar Public School,"First Floor, Satya Niwas, Rani Bazar, P.O. Katrasgarh, Dhanbad, Jharkhand 828113, India",(0652) 2244147,(0657) 2730951
DAV Nandraj Public School,"B/46, ""Shobhadeep"" Kusum Vihar, P.O. BCCL Township, Dhanbad, Jharkhand 826005, India",9507037622,(0657) 2730951
DAV Public School,"Ekta Colony, Near Champai Nagar, Jamshedpur, Jharkhand 831013, India",9507037621,(0657) 2741032
DAV Public School - Bariatu,"H/o Mr. Anirudh Mishra Alpha Coaching Centre, Matwari Compound, Beside SBI Personal Banking Branch, Hazaaribagh, Jharkhand 825301, India",(06584) 222221,(0657) 2741029
DAV Public School - Bistupur,"Pani Tanki, Nawabganj, Hazaaribagh, Jharkhand 835301, India",9708039398,(0657) 2318013
DAV Public School - Bokaro,"New Colony, Tungri, Biruapath Road, Near Tassar Farm, Chaibasa, Pashchim Singhbhum, Jharkhand 833201, India",(06584) 262205,(0657) 2318013
DAV Public School - Gandhi Nagar,"At. Bhaljuria (Near Indra Memorial Club), P.O. Nirsa, Dhanbad, Jharkhand 828205, India",(06553) 256623,(0657) 2340757
Dayanand Anglo Vedic Public School,"Rajbari Rajapara, Pakur, Jharkhand 816107, India",9234302109,(0657) 2286059
Dayanand Arya Vidya Public School,"Shakoragarh, SDO Kothi, Sahibganj, Jharkhand 816109, India",(06553) 256623,(0657) 2650623
Dayanand Public School,"Ray Talab Road, Near Durga Manda, Suriya, Giridih, Jharkhand 815301, India",(0651) 2506274,(0657) 2423983
Dayawati Modi Public School,"22, Tagore Hill, Morabadi, Ranchi, Jharkhand 834008, India",9334063500,(0657) 2432904
DBMS English School,"Gaushala Nala Road, In Front of Jain Mandir, Jugasalai, Tata Nagar, Jamshedpur, Jharkhand 831002, India",9887029143,(0657) 2363185
De Nobili School,"Dipatoli, Bariatu, Ranchi, Jharkhand 834009, India",9887029143,(06546) 291910
De Nobili School - Bhuli Nagar,"House No. 138, New A.G. Co-Operative Colony, Kadru, Ranchi, Jharkhand 834005, India",(0651) 2330949,(06553) 222107
De Nobili School - CMRI,"Budhwa Mahadeo, Ananda Chowk, Hazaaribagh, Jharkhand 825301, India",9334436045,(0651) 2273354
De Nobili School - CTPS,"17/L, 4-13, Golmuri, Jamshedpur, Jharkhand 831003, India",9234051234,(0651) 2273346
De Nobili School - FRI,"Tiril Road, Kokar, Ranchi, Jharkhand 834001, India",9431174163,(0657) 2286574
De Nobili School - Maithon,"Chhotagouindpur, Close Acc. to Roma Jee Sakchi, Jamshedpur, Jharkhand 831001, India",(06553) 222107,(0651) 2260408
De Nobili School - Mugma,"Muri, Ranchi, Jharkhand 835101, India",9471543104,(0657) 2730622
De Nobili School - Sijua,"Ghanshyam Kunj, Garhwa Road, Rehla, Palamu, Jharkhand 822124, India",9835124219,(0657) 2731325
De Nobili School - Sindri,"Rajendra Nagar, New Ulidih Mango, Behind Shiv Mandir, Jamshedpur, Jharkhand 831012, India",9835907100,(0657) 2730951
Delhi Public School - DPS,"Near Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",9835054624,(0657) 2730951
Delhi Public School - DPS Bokaro Steel City,"Beside Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",7643828111,(0657) 2741032
Delhi Public School - DPS Dhanbad,"Bharechnagar, Ramgarh, Jharkhand 829146, India",9470959772,(0657) 2741029
Delhi Public School - DPS Jamshedpur,"Hinoo Road, Ranchi, Jharkhand 834002, India",9279005019,(0657) 2318013
Delhi Public School - DPS SAIL Township,"Road No. 18, Jawahar Nagar, Mango (Near Chepa Pul), Jamshedpur, Jharkhand 831002, India",7250975663,(0657) 2318013
Denovelli School,"6, Ramkrishna Colony, Cross Road, Bistupur, Jamshedpur, Jharkhand 831001, India",(0652) 2244147,(0657) 2340757
DG Garden English School,"Near Jevar Jewelers, Beside Continental Pharmacy, Main Road, Ranchi, Jharkhand 834001, India",9507037622,(0657) 2286059
Dhanbad City School,"Hazaaribagh, Jharkhand 825301, India",9507037621,(0657) 2650623
Dhanbad Public School,"Near Maharaja Fort, Ratu, Ranchi, Jharkhand 835222, India",(06584) 222221,(0657) 2423983
Dhobi Talao Primary School,"Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",9708039398,(0657) 2432904
Dindli Kanya Middle School,"Dipatoli Cantt., NVV Hotwar, Ranchi, Jharkhand 834017, India",(06584) 262205,(0657) 2363185
DN Kamani High School,"Ramgarh - Patratu Road, Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",(06553) 256623,(06546) 291910
Don Bosco Academy,"Telco, Jamshedpur, Jharkhand 831004, India",9234302109,(06553) 222107
Don Bosco School,"Near Union Bank of India, Purulia Road, Ranchi, Jharkhand 834001, India",(06553) 256623,(0651) 2273354
Doon Public School,"UCIL Colony, Jaduguda Mines, Dist. Singbhum (East), Jamshedpur, Jharkhand 832102, India",(0651) 2506274,(0651) 2273346
Dr. Zakir Hussain Middle School,"Post- Jaduguda Mines, East Singhbhum, Purba Singhbhum, Jharkhand 832102, India",9334063500,(0657) 2286574
Eastern Public School,"Narwapahar, UCIL Colony, P.O. Narwa Mines, Purba Singhbhum, Jharkhand 832111, India",9887029143,(0651) 2260408
Edens English High School,"P.O. Sundernagar, Purba Singhbhum, Jharkhand 832107, India",9887029143,(0657) 2730622
Edward English School,"Pal Bagan, Near Mishra Nursing Home, P.O. Mihijam
, Dumka, Jharkhand 815354, India",(0651) 2330949,(0657) 2731325
Eklavya Model Balika Vidyalaya,"Chatra College Road, Opp. S.P. Kothi, Chatra, Chatra, Jharkhand 825401, India",9334436045,(0657) 2730951
EuroKids - AG Colony,"Guru Bhawan, NH-33, Kankebar, Ramgarh Cantt, Dhanbad, Jharkhand 829122, India",9234051234,(0657) 2730951
EuroKids - Booty More,"Adharshila Tower, Road No. 4, Adityapur- 02, Sarai Kela
, Jamshedpur, Jharkhand 831013, India",9431174163,(0657) 2741032
EuroKids - Kanke Road II,"Building No. 2, G.T.N.B., Road No. 9, Shiv Singh Bagan, Jamshedpur, Jharkhand 831009, India",(06553) 222107,(0657) 2741029
EuroKids - Morabadi,"Sumer Villa, New Anantpur, Near Bharti Hospital, Ranchi, Below Overbridge
, Ranchi, Jharkhand 834001, India",9471543104,(0657) 2318013
Eurokids Elite Kids Garden,"House No. 381, Flat A, Road No.4, Ranchi, Jharkhand 834002, India",9546760825,(0657) 2318013
EuroKids Pre-School - Balsara,"Near Professor Colony, Jawaharlal Nagar, Azad Nagar, Mango
, Jamshedpur, Jharkhand 832110, India",9835738905,(0657) 2211372
EuroKids Pre-School - Chas,"Kalakunj, Near Durga Mandir, Babhantoli, Giridih, Jharkhand 815301, India",7856080500,(0657) 2346228
EuroKids Pre-School - Chirkunda,"Bunglow No. 439, Row No. E, 7th Phase, Vijaya Garden, Jamshedpur, Jharkhand 831017, India",9304803232,(0657) 2310195
Eurokids Preschool,"Usha Nand Gokulam, Binod Nagar, Chiragora
, Dhanbad, Jharkhand 826001, India",9334266402,(0657) 2226774
Firayalal Public School,"â€œSuryanchalâ€, Zone No. 1B, Opp. Loyola B. Ed. College, Hurlung Road, Telco, Jamshedpur, Jharkhand 832110, India",9471150000,(06582) 255295
First Mark Public School,"Plot No. C-5, Sector 2-D, Central Market, Bokaro Steel City, Bokaro, Jharkhand 827002, India",9801994801,(0657) 6645219
First Step Play School,"Bhardwaj Complex, Telgoria More, Chira Chas Road, Opposite Reliance Tower, Bokaro Steel City, Bokaro, Jharkhand 827013, India",9430303798,(0651) 2265786
Florence Nightingale School,"Mandhar Pushp, Pragatisheel Colony, Baragain, Bariatu Road, Ranchi, Jharkhand 834009, India",9431180610,(0657) 2425628
Francis Middle School,"Kn-43, Jamshedpur, Jamshedpur, Jharkhand 831015, India",9334111102,(0651) 6066626
Galaxy Public School,"Beside Dr. SK Kundu, Near Durga Mandir, ISM (IIT) Ranibandh, Dhaiya, Dhanbad, Jharkhand 826004, India",9471110059,(0651) 2521360
Gautam Buddha International School,"Old SBI Building, Bandh Gari, Ranchi, Jharkhand 834009, India",(0651) 2482703,(0657) 2431799
